,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
3376,3377,45,512,256,64,0.75,2,0 days 00:00:00.015509,0 days 00:05:23.689478,87.0,87.86666666666667,64.33333333333333,112176272.66666667,0 days 00:00:00.075413,0 days 00:00:00.313381,0 days 00:00:00.028273
3377,3378,45,512,256,64,0.75,3,0 days 00:00:00.015509,0 days 00:04:40.165736,88.86666666666667,89.06666666666666,60.333333333333336,249840006.0,0 days 00:00:00.071833,0 days 00:00:00.310027,0 days 00:00:00.054640
3378,3379,45,512,256,64,0.75,5,0 days 00:00:00.015509,0 days 00:06:16.711426,88.8,89.26666666666667,62.333333333333336,690363952.6666666,0 days 00:00:00.077832,0 days 00:00:00.337859,0 days 00:00:00.135680
3379,3380,45,512,256,64,0.75,7,0 days 00:00:00.015509,0 days 00:08:43.285149,90.60000000000001,91.46666666666665,62.666666666666664,1351149872.6666667,0 days 00:00:00.060894,0 days 00:00:00.370785,0 days 00:00:00.264472
3380,3381,45,512,256,128,0.5,2,0 days 00:00:00.014262,0 days 00:03:22.956487,87.60000000000001,87.8,61.0,56228307.333333336,0 days 00:00:00.060442,0 days 00:00:00.307193,0 days 00:00:00.014275
3381,3382,45,512,256,128,0.5,3,0 days 00:00:00.014262,0 days 00:03:15.730202,88.8,89.06666666666666,62.666666666666664,125232974.0,0 days 00:00:00.058416,0 days 00:00:00.302771,0 days 00:00:00.027329
3382,3383,45,512,256,128,0.5,5,0 days 00:00:00.014262,0 days 00:03:44.115335,90.86666666666667,91.8,67.66666666666667,346047907.3333333,0 days 00:00:00.058857,0 days 00:00:00.307920,0 days 00:00:00.068533
3383,3384,45,512,256,128,0.5,7,0 days 00:00:00.014262,0 days 00:05:02.412985,92.33333333333333,92.53333333333335,68.66666666666667,677270307.3333334,0 days 00:00:00.049565,0 days 00:00:00.334397,0 days 00:00:00.133819
3384,3385,45,512,256,192,0.25,2,0 days 00:00:00.010219,0 days 00:02:14.552368,84.2,86.26666666666667,60.333333333333336,37527496.666666664,0 days 00:00:00.053931,0 days 00:00:00.296065,0 days 00:00:00.009712
3385,3386,45,512,256,192,0.25,3,0 days 00:00:00.010219,0 days 00:02:26.998307,89.46666666666665,90.33333333333333,71.0,83582990.0,0 days 00:00:00.052291,0 days 00:00:00.303955,0 days 00:00:00.018390
3386,3387,45,512,256,192,0.25,5,0 days 00:00:00.010219,0 days 00:02:10.622494,91.06666666666666,91.46666666666665,65.33333333333333,230960568.66666666,0 days 00:00:00.052867,0 days 00:00:00.309423,0 days 00:00:00.045698
3387,3388,45,512,256,192,0.25,7,0 days 00:00:00.010219,0 days 00:03:21.901898,92.2,92.59999999999998,66.0,452026936.6666667,0 days 00:00:00.058999,0 days 00:00:00.323517,0 days 00:00:00.088094
