,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
58,12,3,256,256,192,0.25,7,4,0 days 00:00:00.012500,0 days 00:01:25.043848,70.0,68.0,57,0 days 00:00:00.054486,0 days 00:00:00.272221,0 days 00:00:00.009853
59,12,3,256,256,192,0.25,7,5,0 days 00:00:00.012500,0 days 00:01:39.969748,72.0,69.0,66,0 days 00:00:00.048618,0 days 00:00:00.276026,0 days 00:00:00.009824
60,13,3,256,256,256,0.0,2,1,0 days 00:00:00.010173,0 days 00:00:25.403724,71.0,68.0,29,0 days 00:00:00.049861,0 days 00:00:00.280000,0 days 00:00:00.000783
61,13,3,256,256,256,0.0,2,2,0 days 00:00:00.010173,0 days 00:00:32.581450,54.0,64.0,45,0 days 00:00:00.063418,0 days 00:00:00.279632,0 days 00:00:00.000785
62,13,3,256,256,256,0.0,2,3,0 days 00:00:00.010173,0 days 00:00:17.946141,70.0,62.0,28,0 days 00:00:00.053241,0 days 00:00:00.262897,0 days 00:00:00.000775
63,13,3,256,256,256,0.0,2,4,0 days 00:00:00.010173,0 days 00:00:51.531848,70.0,70.0,63,0 days 00:00:00.043947,0 days 00:00:00.262177,0 days 00:00:00.000776
64,13,3,256,256,256,0.0,2,5,0 days 00:00:00.010173,0 days 00:00:18.936972,53.0,66.0,30,0 days 00:00:00.055587,0 days 00:00:00.263337,0 days 00:00:00.000776
65,14,3,256,256,256,0.0,3,1,0 days 00:00:00.010173,0 days 00:00:37.203342,63.0,65.0,41,0 days 00:00:00.039704,0 days 00:00:00.262748,0 days 00:00:00.001483
66,14,3,256,256,256,0.0,3,2,0 days 00:00:00.010173,0 days 00:00:21.631288,56.00000000000001,67.0,27,0 days 00:00:00.042190,0 days 00:00:00.261463,0 days 00:00:00.001536
67,14,3,256,256,256,0.0,3,3,0 days 00:00:00.010173,0 days 00:00:21.599936,0.0,52.0,30,0 days 00:00:00.048101,0 days 00:00:00.265161,0 days 00:00:00.001516
68,14,3,256,256,256,0.0,3,4,0 days 00:00:00.010173,0 days 00:00:27.633514,40.0,51.0,33,0 days 00:00:00.056009,0 days 00:00:00.271887,0 days 00:00:00.001580
69,14,3,256,256,256,0.0,3,5,0 days 00:00:00.010173,0 days 00:00:15.064139,69.0,60.0,19,0 days 00:00:00.057134,0 days 00:00:00.265959,0 days 00:00:00.001465
70,15,3,256,256,256,0.0,5,1,0 days 00:00:00.010173,0 days 00:00:41.827489,37.0,60.0,34,0 days 00:00:00.045921,0 days 00:00:00.266408,0 days 00:00:00.003759
71,15,3,256,256,256,0.0,5,2,0 days 00:00:00.010173,0 days 00:00:39.621980,71.0,70.0,44,0 days 00:00:00.072667,0 days 00:00:00.270098,0 days 00:00:00.003848
72,15,3,256,256,256,0.0,5,3,0 days 00:00:00.010173,0 days 00:00:29.659984,70.0,63.0,29,0 days 00:00:00.043928,0 days 00:00:00.271558,0 days 00:00:00.004006
73,15,3,256,256,256,0.0,5,4,0 days 00:00:00.010173,0 days 00:00:13.037289,67.0,53.0,15,0 days 00:00:00.049005,0 days 00:00:00.265641,0 days 00:00:00.003828
74,15,3,256,256,256,0.0,5,5,0 days 00:00:00.010173,0 days 00:00:32.592267,70.0,69.0,36,0 days 00:00:00.042682,0 days 00:00:00.275202,0 days 00:00:00.003794
75,16,3,256,256,256,0.0,7,1,0 days 00:00:00.010173,0 days 00:00:58.093232,69.0,65.0,39,0 days 00:00:00.038493,0 days 00:00:00.269735,0 days 00:00:00.007151
76,16,3,256,256,256,0.0,7,2,0 days 00:00:00.010173,0 days 00:00:56.120868,70.0,63.0,41,0 days 00:00:00.059497,0 days 00:00:00.270248,0 days 00:00:00.007249
77,16,3,256,256,256,0.0,7,3,0 days 00:00:00.010173,0 days 00:00:26.565792,67.0,62.0,21,0 days 00:00:00.058892,0 days 00:00:00.267588,0 days 00:00:00.007496
78,16,3,256,256,256,0.0,7,4,0 days 00:00:00.010173,0 days 00:00:52.978510,70.0,67.0,40,0 days 00:00:00.052451,0 days 00:00:00.269273,0 days 00:00:00.007243
79,16,3,256,256,256,0.0,7,5,0 days 00:00:00.010173,0 days 00:00:51.854543,69.0,67.0,40,0 days 00:00:00.047994,0 days 00:00:00.279061,0 days 00:00:00.007260
80,17,3,512,256,64,0.75,2,1,0 days 00:00:00.025440,0 days 00:00:15.526462,67.0,52.0,12,0 days 00:00:00.070480,0 days 00:00:00.264531,0 days 00:00:00.002581
81,17,3,512,256,64,0.75,2,2,0 days 00:00:00.025440,0 days 00:00:19.526940,69.0,56.99999999999999,15,0 days 00:00:00.089445,0 days 00:00:00.267197,0 days 00:00:00.002896
