,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
48,49,3,1024,256,64,0.75,2,0 days 00:00:00.023242,0 days 00:00:18.609913,67.2,70.2,23,12338550.0,0 days 00:00:00.110128,0 days 00:00:00.283936,0 days 00:00:00.002788
49,50,3,1024,256,64,0.75,3,0 days 00:00:00.023242,0 days 00:01:40.281836,95.2,95.6,80,27507990.0,0 days 00:00:00.101311,0 days 00:00:00.284755,0 days 00:00:00.005575
50,51,3,1024,256,64,0.75,5,0 days 00:00:00.023242,0 days 00:01:26.772876,88.4,89.0,60,76050198.0,0 days 00:00:00.103423,0 days 00:00:00.287256,0 days 00:00:00.014509
51,52,3,1024,256,64,0.75,7,0 days 00:00:00.023242,0 days 00:02:12.806253,92.6,93.2,67,148863510.0,0 days 00:00:00.094796,0 days 00:00:00.293158,0 days 00:00:00.027869
52,53,3,1024,256,128,0.5,2,0 days 00:00:00.016606,0 days 00:00:11.543411,72.4,68.0,19,6188142.0,0 days 00:00:00.065641,0 days 00:00:00.275417,0 days 00:00:00.001464
53,54,3,1024,256,128,0.5,3,0 days 00:00:00.016606,0 days 00:01:17.349847,95.0,95.2,80,13795902.0,0 days 00:00:00.064014,0 days 00:00:00.280017,0 days 00:00:00.002909
54,55,3,1024,256,128,0.5,5,0 days 00:00:00.016606,0 days 00:01:34.823628,95.8,96.0,80,38140734.0,0 days 00:00:00.071776,0 days 00:00:00.288034,0 days 00:00:00.007365
55,56,3,1024,256,128,0.5,7,0 days 00:00:00.016606,0 days 00:01:42.652121,96.4,96.4,78,74657982.0,0 days 00:00:00.068036,0 days 00:00:00.289759,0 days 00:00:00.014388
56,57,3,1024,256,192,0.25,2,0 days 00:00:00.010871,0 days 00:00:22.804028,79.0,79.2,32,4137758.0,0 days 00:00:00.052816,0 days 00:00:00.273812,0 days 00:00:00.001034
57,58,3,1024,256,192,0.25,3,0 days 00:00:00.010871,0 days 00:00:53.135117,87.2,88.2,54,9224718.0,0 days 00:00:00.050364,0 days 00:00:00.274821,0 days 00:00:00.002057
58,59,3,1024,256,192,0.25,5,0 days 00:00:00.010871,0 days 00:01:12.345234,89.0,89.2,71,25502990.0,0 days 00:00:00.057644,0 days 00:00:00.282315,0 days 00:00:00.005096
59,60,3,1024,256,192,0.25,7,0 days 00:00:00.010871,0 days 00:01:40.795734,95.8,96.2,80,49920398.0,0 days 00:00:00.065617,0 days 00:00:00.282565,0 days 00:00:00.009747
60,61,3,1024,256,256,0.0,2,0 days 00:00:00.011138,0 days 00:00:16.494517,76.0,75.6,28,3114718.0,0 days 00:00:00.051465,0 days 00:00:00.286108,0 days 00:00:00.000773
