,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
53,11,3,256,256,192,0.25,5,4,0 days 00:00:00.008040,0 days 00:00:44.339261,93.0,93.0,80,0 days 00:00:00.034987,0 days 00:00:00.286631,0 days 00:00:00.004956
54,11,3,256,256,192,0.25,5,5,0 days 00:00:00.008040,0 days 00:00:37.061169,93.0,93.0,80,0 days 00:00:00.058662,0 days 00:00:00.271182,0 days 00:00:00.005124
55,12,3,256,256,192,0.25,7,1,0 days 00:00:00.008040,0 days 00:00:41.697741,95.0,95.0,80,0 days 00:00:00.034664,0 days 00:00:00.275211,0 days 00:00:00.009628
56,12,3,256,256,192,0.25,7,2,0 days 00:00:00.008040,0 days 00:00:47.919953,95.0,95.0,80,0 days 00:00:00.046189,0 days 00:00:00.275490,0 days 00:00:00.009624
57,12,3,256,256,192,0.25,7,3,0 days 00:00:00.008040,0 days 00:00:47.154598,95.0,95.0,80,0 days 00:00:00.052003,0 days 00:00:00.290583,0 days 00:00:00.009587
58,12,3,256,256,192,0.25,7,4,0 days 00:00:00.008040,0 days 00:00:36.491881,99.0,99.0,80,0 days 00:00:00.055661,0 days 00:00:00.272214,0 days 00:00:00.009595
59,12,3,256,256,192,0.25,7,5,0 days 00:00:00.008040,0 days 00:00:44.802100,95.0,95.0,80,0 days 00:00:00.066809,0 days 00:00:00.282278,0 days 00:00:00.009604
60,13,3,256,256,256,0.0,2,1,0 days 00:00:00.009272,0 days 00:00:21.387770,91.0,91.0,44,0 days 00:00:00.057974,0 days 00:00:00.274506,0 days 00:00:00.000755
61,13,3,256,256,256,0.0,2,2,0 days 00:00:00.009272,0 days 00:00:18.518946,90.0,90.0,45,0 days 00:00:00.052972,0 days 00:00:00.281812,0 days 00:00:00.000798
62,13,3,256,256,256,0.0,2,3,0 days 00:00:00.009272,0 days 00:00:21.070491,85.0,85.0,39,0 days 00:00:00.052273,0 days 00:00:00.265243,0 days 00:00:00.000917
63,13,3,256,256,256,0.0,2,4,0 days 00:00:00.009272,0 days 00:00:33.360958,90.0,90.0,80,0 days 00:00:00.066832,0 days 00:00:00.263650,0 days 00:00:00.000898
64,13,3,256,256,256,0.0,2,5,0 days 00:00:00.009272,0 days 00:00:03.969221,74.0,67.0,15,0 days 00:00:00.059257,0 days 00:00:00.260644,0 days 00:00:00.000806
65,14,3,256,256,256,0.0,3,1,0 days 00:00:00.009272,0 days 00:00:28.993308,91.0,91.0,49,0 days 00:00:00.052671,0 days 00:00:00.264320,0 days 00:00:00.001509
66,14,3,256,256,256,0.0,3,2,0 days 00:00:00.009272,0 days 00:00:31.343199,92.0,92.0,59,0 days 00:00:00.053078,0 days 00:00:00.283398,0 days 00:00:00.001493
67,14,3,256,256,256,0.0,3,3,0 days 00:00:00.009272,0 days 00:00:03.914596,65.0,50.0,13,0 days 00:00:00.054245,0 days 00:00:00.269813,0 days 00:00:00.001550
68,14,3,256,256,256,0.0,3,4,0 days 00:00:00.009272,0 days 00:00:40.020578,93.0,93.0,80,0 days 00:00:00.061536,0 days 00:00:00.267481,0 days 00:00:00.001540
69,14,3,256,256,256,0.0,3,5,0 days 00:00:00.009272,0 days 00:00:31.711949,93.0,93.0,80,0 days 00:00:00.055193,0 days 00:00:00.264302,0 days 00:00:00.001544
70,15,3,256,256,256,0.0,5,1,0 days 00:00:00.009272,0 days 00:00:48.679233,95.0,95.0,80,0 days 00:00:00.066560,0 days 00:00:00.275826,0 days 00:00:00.003915
71,15,3,256,256,256,0.0,5,2,0 days 00:00:00.009272,0 days 00:00:20.614234,86.0,87.0,44,0 days 00:00:00.052408,0 days 00:00:00.265927,0 days 00:00:00.003873
72,15,3,256,256,256,0.0,5,3,0 days 00:00:00.009272,0 days 00:00:49.575337,95.0,95.0,80,0 days 00:00:00.052552,0 days 00:00:00.266705,0 days 00:00:00.003877
73,15,3,256,256,256,0.0,5,4,0 days 00:00:00.009272,0 days 00:00:36.184931,96.0,96.0,80,0 days 00:00:00.056065,0 days 00:00:00.274009,0 days 00:00:00.003752
74,15,3,256,256,256,0.0,5,5,0 days 00:00:00.009272,0 days 00:00:08.883062,81.0,79.0,25,0 days 00:00:00.054275,0 days 00:00:00.271253,0 days 00:00:00.003720
75,16,3,256,256,256,0.0,7,1,0 days 00:00:00.009272,0 days 00:00:48.603607,95.0,95.0,80,0 days 00:00:00.055461,0 days 00:00:00.277406,0 days 00:00:00.007126
76,16,3,256,256,256,0.0,7,2,0 days 00:00:00.009272,0 days 00:00:42.890433,97.0,97.0,80,0 days 00:00:00.066073,0 days 00:00:00.274215,0 days 00:00:00.007267
77,16,3,256,256,256,0.0,7,3,0 days 00:00:00.009272,0 days 00:00:40.158208,95.0,95.0,80,0 days 00:00:00.057925,0 days 00:00:00.275220,0 days 00:00:00.007225
78,16,3,256,256,256,0.0,7,4,0 days 00:00:00.009272,0 days 00:00:42.884118,95.0,95.0,80,0 days 00:00:00.069448,0 days 00:00:00.271107,0 days 00:00:00.007073
79,16,3,256,256,256,0.0,7,5,0 days 00:00:00.009272,0 days 00:00:38.119494,97.0,97.0,80,0 days 00:00:00.054866,0 days 00:00:00.271749,0 days 00:00:00.007142
80,17,3,512,256,64,0.75,2,1,0 days 00:00:00.011610,0 days 00:00:24.074131,83.0,83.0,51,0 days 00:00:00.115967,0 days 00:00:00.607707,0 days 00:00:00.002993
81,17,3,512,256,64,0.75,2,2,0 days 00:00:00.011610,0 days 00:00:11.262760,80.0,77.0,39,0 days 00:00:00.116807,0 days 00:00:00.292525,0 days 00:00:00.002960
82,17,3,512,256,64,0.75,2,3,0 days 00:00:00.011610,0 days 00:00:06.950321,0.0,53.0,17,0 days 00:00:00.097736,0 days 00:00:00.289307,0 days 00:00:00.002839
83,17,3,512,256,64,0.75,2,4,0 days 00:00:00.011610,0 days 00:00:28.834978,83.0,83.0,57,0 days 00:00:00.104345,0 days 00:00:00.284953,0 days 00:00:00.002818
84,17,3,512,256,64,0.75,2,5,0 days 00:00:00.011610,0 days 00:00:30.405330,86.0,86.0,47,0 days 00:00:00.113778,0 days 00:00:00.281606,0 days 00:00:00.002745
85,18,3,512,256,64,0.75,3,1,0 days 00:00:00.011610,0 days 00:00:23.802969,90.0,90.0,45,0 days 00:00:00.099278,0 days 00:00:00.272593,0 days 00:00:00.005451
86,18,3,512,256,64,0.75,3,2,0 days 00:00:00.011610,0 days 00:00:40.138148,91.0,91.0,74,0 days 00:00:00.110161,0 days 00:00:00.293242,0 days 00:00:00.005550
87,18,3,512,256,64,0.75,3,3,0 days 00:00:00.011610,0 days 00:00:20.182600,89.0,89.0,37,0 days 00:00:00.104478,0 days 00:00:00.279987,0 days 00:00:00.005705
88,18,3,512,256,64,0.75,3,4,0 days 00:00:00.011610,0 days 00:00:18.411766,86.0,86.0,38,0 days 00:00:00.112360,0 days 00:00:00.279541,0 days 00:00:00.005601
89,18,3,512,256,64,0.75,3,5,0 days 00:00:00.011610,0 days 00:00:38.843957,89.0,89.0,61,0 days 00:00:00.104911,0 days 00:00:00.270981,0 days 00:00:00.005639
90,19,3,512,256,64,0.75,5,1,0 days 00:00:00.011610,0 days 00:00:27.443294,90.0,90.0,61,0 days 00:00:00.101614,0 days 00:00:00.308554,0 days 00:00:00.014311
91,19,3,512,256,64,0.75,5,2,0 days 00:00:00.011610,0 days 00:00:03.988239,74.0,71.0,13,0 days 00:00:00.103321,0 days 00:00:00.304465,0 days 00:00:00.014351
92,19,3,512,256,64,0.75,5,3,0 days 00:00:00.011610,0 days 00:00:19.227087,90.0,90.0,45,0 days 00:00:00.102737,0 days 00:00:00.285509,0 days 00:00:00.014217
93,19,3,512,256,64,0.75,5,4,0 days 00:00:00.011610,0 days 00:00:24.559001,90.0,89.0,55,0 days 00:00:00.099931,0 days 00:00:00.283345,0 days 00:00:00.014484
94,19,3,512,256,64,0.75,5,5,0 days 00:00:00.011610,0 days 00:00:03.960378,46.0,67.0,13,0 days 00:00:00.101149,0 days 00:00:00.309809,0 days 00:00:00.014278
95,20,3,512,256,64,0.75,7,1,0 days 00:00:00.011610,0 days 00:00:30.468203,92.0,91.0,80,0 days 00:00:00.117849,0 days 00:00:00.287669,0 days 00:00:00.027395
96,20,3,512,256,64,0.75,7,2,0 days 00:00:00.011610,0 days 00:00:28.329024,91.0,91.0,62,0 days 00:00:00.116513,0 days 00:00:00.284194,0 days 00:00:00.027631
97,20,3,512,256,64,0.75,7,3,0 days 00:00:00.011610,0 days 00:00:30.942752,91.0,91.0,80,0 days 00:00:00.114587,0 days 00:00:00.284670,0 days 00:00:00.027432
98,20,3,512,256,64,0.75,7,4,0 days 00:00:00.011610,0 days 00:00:32.994611,92.0,92.0,80,0 days 00:00:00.102787,0 days 00:00:00.282248,0 days 00:00:00.027642
99,20,3,512,256,64,0.75,7,5,0 days 00:00:00.011610,0 days 00:00:10.803628,90.0,89.0,27,0 days 00:00:00.100456,0 days 00:00:00.289338,0 days 00:00:00.027640
100,21,3,512,256,128,0.5,2,1,0 days 00:00:00.008736,0 days 00:00:24.665335,88.0,88.0,46,0 days 00:00:00.093793,0 days 00:00:00.276567,0 days 00:00:00.001372
101,21,3,512,256,128,0.5,2,2,0 days 00:00:00.008736,0 days 00:00:32.331068,86.0,86.0,80,0 days 00:00:00.093223,0 days 00:00:00.273199,0 days 00:00:00.001480
102,21,3,512,256,128,0.5,2,3,0 days 00:00:00.008736,0 days 00:00:23.759725,88.0,87.0,48,0 days 00:00:00.053004,0 days 00:00:00.262548,0 days 00:00:00.001511
103,21,3,512,256,128,0.5,2,4,0 days 00:00:00.008736,0 days 00:00:07.759594,75.0,74.0,17,0 days 00:00:00.095625,0 days 00:00:00.278322,0 days 00:00:00.001437
104,21,3,512,256,128,0.5,2,5,0 days 00:00:00.008736,0 days 00:00:34.920091,89.0,89.0,80,0 days 00:00:00.061108,0 days 00:00:00.268183,0 days 00:00:00.001404
105,22,3,512,256,128,0.5,3,1,0 days 00:00:00.008736,0 days 00:00:46.760437,91.0,91.0,80,0 days 00:00:00.082418,0 days 00:00:00.272498,0 days 00:00:00.002855
106,22,3,512,256,128,0.5,3,2,0 days 00:00:00.008736,0 days 00:00:25.439851,90.0,90.0,61,0 days 00:00:00.079517,0 days 00:00:00.267780,0 days 00:00:00.002803
107,22,3,512,256,128,0.5,3,3,0 days 00:00:00.008736,0 days 00:00:29.649178,90.0,90.0,62,0 days 00:00:00.060708,0 days 00:00:00.277457,0 days 00:00:00.002869
108,22,3,512,256,128,0.5,3,4,0 days 00:00:00.008736,0 days 00:00:27.689451,86.0,87.0,61,0 days 00:00:00.072068,0 days 00:00:00.274706,0 days 00:00:00.002911
109,22,3,512,256,128,0.5,3,5,0 days 00:00:00.008736,0 days 00:00:20.376182,90.0,89.0,45,0 days 00:00:00.075085,0 days 00:00:00.271377,0 days 00:00:00.002881
110,23,3,512,256,128,0.5,5,1,0 days 00:00:00.008736,0 days 00:00:12.505808,88.0,87.0,30,0 days 00:00:00.068319,0 days 00:00:00.275958,0 days 00:00:00.007286
111,23,3,512,256,128,0.5,5,2,0 days 00:00:00.008736,0 days 00:00:19.032132,90.0,89.0,44,0 days 00:00:00.076466,0 days 00:00:00.278822,0 days 00:00:00.007194
112,23,3,512,256,128,0.5,5,3,0 days 00:00:00.008736,0 days 00:00:19.062434,89.0,89.0,38,0 days 00:00:00.072034,0 days 00:00:00.275693,0 days 00:00:00.007437
113,23,3,512,256,128,0.5,5,4,0 days 00:00:00.008736,0 days 00:00:24.043700,90.0,90.0,44,0 days 00:00:00.074133,0 days 00:00:00.272243,0 days 00:00:00.007340
114,23,3,512,256,128,0.5,5,5,0 days 00:00:00.008736,0 days 00:00:16.536851,90.0,90.0,44,0 days 00:00:00.056289,0 days 00:00:00.276461,0 days 00:00:00.007315
115,24,3,512,256,128,0.5,7,1,0 days 00:00:00.008736,0 days 00:00:37.416214,91.0,91.0,80,0 days 00:00:00.057683,0 days 00:00:00.282771,0 days 00:00:00.014081
116,24,3,512,256,128,0.5,7,2,0 days 00:00:00.008736,0 days 00:00:33.130830,92.0,92.0,80,0 days 00:00:00.074593,0 days 00:00:00.279838,0 days 00:00:00.014091
117,24,3,512,256,128,0.5,7,3,0 days 00:00:00.008736,0 days 00:00:16.649530,86.0,86.0,38,0 days 00:00:00.075324,0 days 00:00:00.280704,0 days 00:00:00.014196
118,24,3,512,256,128,0.5,7,4,0 days 00:00:00.008736,0 days 00:00:20.791660,90.0,90.0,51,0 days 00:00:00.065136,0 days 00:00:00.281011,0 days 00:00:00.014115
119,24,3,512,256,128,0.5,7,5,0 days 00:00:00.008736,0 days 00:00:39.336013,94.0,94.0,80,0 days 00:00:00.052312,0 days 00:00:00.299817,0 days 00:00:00.014034
120,25,3,512,256,192,0.25,2,1,0 days 00:00:00.008216,0 days 00:00:25.654997,88.0,87.0,42,0 days 00:00:00.046249,0 days 00:00:00.266903,0 days 00:00:00.001014
121,25,3,512,256,192,0.25,2,2,0 days 00:00:00.008216,0 days 00:00:27.521960,86.0,86.0,66,0 days 00:00:00.059500,0 days 00:00:00.262413,0 days 00:00:00.001066
122,25,3,512,256,192,0.25,2,3,0 days 00:00:00.008216,0 days 00:00:21.422572,86.0,86.0,44,0 days 00:00:00.059343,0 days 00:00:00.263782,0 days 00:00:00.001045
123,25,3,512,256,192,0.25,2,4,0 days 00:00:00.008216,0 days 00:00:22.459436,85.0,85.0,47,0 days 00:00:00.046972,0 days 00:00:00.295000,0 days 00:00:00.000993
124,25,3,512,256,192,0.25,2,5,0 days 00:00:00.008216,0 days 00:00:08.067425,56.00000000000001,68.0,24,0 days 00:00:00.077244,0 days 00:00:00.272649,0 days 00:00:00.001013
125,26,3,512,256,192,0.25,3,1,0 days 00:00:00.008216,0 days 00:00:40.807404,90.0,90.0,77,0 days 00:00:00.056707,0 days 00:00:00.269571,0 days 00:00:00.002080
126,26,3,512,256,192,0.25,3,2,0 days 00:00:00.008216,0 days 00:00:20.914674,91.0,91.0,39,0 days 00:00:00.072435,0 days 00:00:00.271527,0 days 00:00:00.001967
127,26,3,512,256,192,0.25,3,3,0 days 00:00:00.008216,0 days 00:00:18.581243,87.0,87.0,38,0 days 00:00:00.056414,0 days 00:00:00.266457,0 days 00:00:00.001957
