,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
86,18,3,512,256,64,0.75,3,2,0 days 00:00:00.016468,0 days 00:01:45.648888,95.0,96.0,80,0 days 00:00:00.071031,0 days 00:00:00.294984,0 days 00:00:00.005714
87,18,3,512,256,64,0.75,3,3,0 days 00:00:00.016468,0 days 00:01:35.898556,96.0,96.0,80,0 days 00:00:00.064096,0 days 00:00:00.281740,0 days 00:00:00.005559
88,18,3,512,256,64,0.75,3,4,0 days 00:00:00.016468,0 days 00:00:16.010474,74.0,68.0,18,0 days 00:00:00.069892,0 days 00:00:00.273342,0 days 00:00:00.005585
89,18,3,512,256,64,0.75,3,5,0 days 00:00:00.016468,0 days 00:01:30.747904,96.0,96.0,80,0 days 00:00:00.067221,0 days 00:00:00.275917,0 days 00:00:00.005585
90,19,3,512,256,64,0.75,5,1,0 days 00:00:00.016468,0 days 00:01:58.279627,96.0,96.0,80,0 days 00:00:00.059187,0 days 00:00:00.315227,0 days 00:00:00.014413
91,19,3,512,256,64,0.75,5,2,0 days 00:00:00.016468,0 days 00:02:11.978292,95.0,96.0,80,0 days 00:00:00.048688,0 days 00:00:00.291981,0 days 00:00:00.014185
92,19,3,512,256,64,0.75,5,3,0 days 00:00:00.016468,0 days 00:01:45.367716,94.0,94.0,75,0 days 00:00:00.061743,0 days 00:00:00.280448,0 days 00:00:00.014184
93,19,3,512,256,64,0.75,5,4,0 days 00:00:00.016468,0 days 00:00:39.111041,77.0,78.0,30,0 days 00:00:00.075097,0 days 00:00:00.289175,0 days 00:00:00.014236
94,19,3,512,256,64,0.75,5,5,0 days 00:00:00.016468,0 days 00:01:53.471407,97.0,97.0,80,0 days 00:00:00.059387,0 days 00:00:00.309575,0 days 00:00:00.014989
95,20,3,512,256,64,0.75,7,1,0 days 00:00:00.016468,0 days 00:03:07.188928,95.0,96.0,80,0 days 00:00:00.070526,0 days 00:00:00.293842,0 days 00:00:00.027745
96,20,3,512,256,64,0.75,7,2,0 days 00:00:00.016468,0 days 00:02:26.238075,97.0,97.0,75,0 days 00:00:00.058121,0 days 00:00:00.278197,0 days 00:00:00.027812
97,20,3,512,256,64,0.75,7,3,0 days 00:00:00.016468,0 days 00:02:31.057426,95.0,96.0,80,0 days 00:00:00.075738,0 days 00:00:00.287383,0 days 00:00:00.028060
98,20,3,512,256,64,0.75,7,4,0 days 00:00:00.016468,0 days 00:02:30.923030,95.0,96.0,80,0 days 00:00:00.066370,0 days 00:00:00.280121,0 days 00:00:00.027769
99,20,3,512,256,64,0.75,7,5,0 days 00:00:00.016468,0 days 00:02:32.199729,95.0,95.0,80,0 days 00:00:00.057390,0 days 00:00:00.283462,0 days 00:00:00.027867
100,21,3,512,256,128,0.5,2,1,0 days 00:00:00.012391,0 days 00:00:11.842218,57.99999999999999,71.0,17,0 days 00:00:00.054313,0 days 00:00:00.267952,0 days 00:00:00.001464
101,21,3,512,256,128,0.5,2,2,0 days 00:00:00.012391,0 days 00:00:13.416101,80.0,83.0,21,0 days 00:00:00.028575,0 days 00:00:00.265535,0 days 00:00:00.001434
102,21,3,512,256,128,0.5,2,3,0 days 00:00:00.012391,0 days 00:00:11.460808,74.0,69.0,17,0 days 00:00:00.059990,0 days 00:00:00.292615,0 days 00:00:00.001367
103,21,3,512,256,128,0.5,2,4,0 days 00:00:00.012391,0 days 00:00:11.644394,80.0,82.0,20,0 days 00:00:00.044944,0 days 00:00:00.281777,0 days 00:00:00.001493
104,21,3,512,256,128,0.5,2,5,0 days 00:00:00.012391,0 days 00:00:06.710736,69.0,60.0,13,0 days 00:00:00.058670,0 days 00:00:00.264046,0 days 00:00:00.001405
105,22,3,512,256,128,0.5,3,1,0 days 00:00:00.012391,0 days 00:01:30.759476,97.0,97.0,80,0 days 00:00:00.049026,0 days 00:00:00.271918,0 days 00:00:00.002922
106,22,3,512,256,128,0.5,3,2,0 days 00:00:00.012391,0 days 00:00:09.051434,71.0,64.0,13,0 days 00:00:00.056294,0 days 00:00:00.269497,0 days 00:00:00.002853
107,22,3,512,256,128,0.5,3,3,0 days 00:00:00.012391,0 days 00:01:22.171900,94.0,94.0,80,0 days 00:00:00.068050,0 days 00:00:00.281185,0 days 00:00:00.002934
108,22,3,512,256,128,0.5,3,4,0 days 00:00:00.012391,0 days 00:01:31.695967,95.0,96.0,80,0 days 00:00:00.064953,0 days 00:00:00.279033,0 days 00:00:00.002875
109,22,3,512,256,128,0.5,3,5,0 days 00:00:00.012391,0 days 00:01:45.895479,95.0,96.0,80,0 days 00:00:00.054699,0 days 00:00:00.272028,0 days 00:00:00.002931
110,23,3,512,256,128,0.5,5,1,0 days 00:00:00.012391,0 days 00:00:19.174250,79.0,80.0,21,0 days 00:00:00.051489,0 days 00:00:00.279582,0 days 00:00:00.007298
111,23,3,512,256,128,0.5,5,2,0 days 00:00:00.012391,0 days 00:01:36.159930,97.0,97.0,80,0 days 00:00:00.056840,0 days 00:00:00.280802,0 days 00:00:00.007290
112,23,3,512,256,128,0.5,5,3,0 days 00:00:00.012391,0 days 00:01:20.556569,94.0,94.0,80,0 days 00:00:00.044001,0 days 00:00:00.279908,0 days 00:00:00.007407
113,23,3,512,256,128,0.5,5,4,0 days 00:00:00.012391,0 days 00:01:25.011330,97.0,97.0,80,0 days 00:00:00.059004,0 days 00:00:00.275279,0 days 00:00:00.007404
